OA;MN;V;I;R
2.50;1;312.07;431.1;13.65
3.20;1;208.29;484.06;13.50
4.00;1;155.44;508.36;15.13
5.00;1;121.42;553.5;17.06
6.50;1;89.9;586.41;20.23
8.00;1;63.84;547.35;23.36
10.00;1;49.59;574.41;27.05
13.00;1;67.18;1082.48;32.90
16.00;1;32.33;662.75;39.19
20.00;1;19.41;506.84;48.09
25.00;1;13.01;447.98;57.00
32.00;1;7.37;336.09;70.53
40.00;1;4.35;268.05;81.56
50.00;1;4.46;359.13;97.53
65.00;1;3.08;380.35;107.48
80.00;1;2.72;467.46;116.99
100.00;10;6.73;173.24;121.74
100.00;1;0.73;174.3;131.57
130.00;10;3.85;150.92;135.24
160.00;10;3.26;201.1;130.25
200.00;10;4.67;578.27;101.42
250.00;10;3.9;858.03;89.21
