OA;MN;V;I;R
2.50;1;207.24;54.13;72.17
3.20;1;125.16;50.17;78.30
4.00;1;87.73;47.4;91.58
5.00;1;40.11;30.9;100.99
6.50;1;37.2;43.25;113.45
8.00;1;36.32;58.3;124.77
10.00;1;21.5;49.04;137.39
13.00;1;12.22;46.66;138.84
16.00;1;9.34;54.98;136.49
20.00;1;5.42;52.68;129.21
25.00;1;3.68;63.96;112.93
32.00;1;1.49;54.99;87.15
40.00;1;0.69;54.68;63.42
40.00;10;7.05;55.3;63.08
50.00;10;3.26;61.81;41.01
65.00;10;1.86;89.38;27.46
80.00;20;1.83;82.54;21.94
80.00;10;0.87;82.9;21.02
100.00;20;1.1;93.13;18.37
130.00;20;0.54;82.46;17.28
160.00;20;0.59;151.35;15.61
200.00;20;0.48;209.1;14.39
